MGI Gene/Marker ID	Symbol	Name
MGI:3647046	Tmem170b	transmembrane protein 170B
MGI:3647046	Tmem170b	transmembrane protein 170B
MGI:2665790	Tnn	tenascin N
MGI:1341264	Tpbg	trophoblast glycoprotein
MGI:3646425	Tpbgl	trophoblast glycoprotein-like
MGI:1916139	Ubac2	ubiquitin associated domain containing 2
MGI:1916139	Ubac2	ubiquitin associated domain containing 2
MGI:98958	Wnt5a	wingless-type MMTV integration site family, member 5A
MGI:98958	Wnt5a	wingless-type MMTV integration site family, member 5A
MGI:98958	Wnt5a	wingless-type MMTV integration site family, member 5A
MGI:98958	Wnt5a	wingless-type MMTV integration site family, member 5A
MGI:98958	Wnt5a	wingless-type MMTV integration site family, member 5A
MGI:98958	Wnt5a	wingless-type MMTV integration site family, member 5A
MGI:98958	Wnt5a	wingless-type MMTV integration site family, member 5A
MGI:98958	Wnt5a	wingless-type MMTV integration site family, member 5A
MGI:98958	Wnt5a	wingless-type MMTV integration site family, member 5A
MGI:98959	Wnt5b	wingless-type MMTV integration site family, member 5B
MGI:101948	Wnt11	wingless-type MMTV integration site family, member 11
MGI:101948	Wnt11	wingless-type MMTV integration site family, member 11
MGI:101948	Wnt11	wingless-type MMTV integration site family, member 11
MGI:1917649	Wwtr1	WW domain containing transcription regulator 1
MGI:3039616	Znrf3	zinc and ring finger 3
MGI:3039616	Znrf3	zinc and ring finger 3

