"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"Dock10",1.62217548092484e-56,-0.201426392580355,0.485,0.532,5.15689585386007e-52,"Dock10"
"C030029H02Rik",3.07702009487138e-56,-0.256443169096411,0.087,0.128,9.78184688159611e-52,"C030029H02Rik"
"Dpp10",1.83380262547389e-55,0.297001076619432,0.296,0.241,5.8296585463815e-51,"Dpp10"
"Ctnnd2",3.57499217042984e-55,0.135923503364228,0.686,0.642,1.13649001097965e-50,"Ctnnd2"
"Samd12",1.04898610746131e-52,0.15200055035512,0.528,0.48,3.33472683561949e-48,"Samd12"
"Mobp",7.98150036861485e-52,-0.266245334266166,0.122,0.166,2.53731896718266e-47,"Mobp"
"Pdgfd",8.09013592063682e-52,0.148150018396711,0.036,0.016,2.57185420917044e-47,"Pdgfd"
"Prr5l",1.48749818113652e-51,-0.230270285176126,0.159,0.208,4.72875671783301e-47,"Prr5l"
"Car10",7.63337451114254e-51,0.217353611804604,0.348,0.296,2.42664975709221e-46,"Car10"
"Apoe",3.00201720359922e-50,0.10364656626513,0.463,0.392,9.54341269024191e-46,"Apoe"
"Nnat",2.6012080290744e-49,0.189907893493712,0.32,0.265,8.26924032442751e-45,"Nnat"
"Tenm4",5.95502115965294e-49,0.165490420560782,0.441,0.389,1.89310122665367e-44,"Tenm4"
"Atp1a2",8.21082606524687e-49,0.254074832785151,0.106,0.071,2.61022160614198e-44,"Atp1a2"
"Tmeff2",1.03422166663926e-48,-0.230502870803424,0.655,0.692,3.28779067824622e-44,"Tmeff2"
"Gabrb1",1.80161618667677e-48,0.158845519644794,0.646,0.596,5.72733785744544e-44,"Gabrb1"
"Hif3a",2.37439446678328e-48,0.147292334826857,0.047,0.024,7.54820000990405e-44,"Hif3a"
"Mag",6.53326899121338e-48,-0.222322614871637,0.114,0.155,2.07692621230673e-43,"Mag"
"Trpm3",1.21252030724635e-47,0.350794927829852,0.437,0.381,3.85460205673616e-43,"Trpm3"
"Mal",3.87092262136461e-47,-0.190443463738934,0.114,0.155,1.23056630133181e-42,"Mal"
"Pcdh9",1.03655898223563e-46,-0.138598152511047,0.86,0.876,3.29522100452708e-42,"Pcdh9"
"Mt1",2.72687542879046e-46,0.147500607059193,0.145,0.105,8.66873698812489e-42,"Mt1"
"Fam155a",2.64170091687518e-45,0.132721737991311,0.643,0.619,8.39796721474619e-41,"Fam155a"
"Plce1",2.96945777781693e-44,0.177648633351865,0.076,0.048,9.43990627568002e-40,"Plce1"
"Nxn",5.3767584897193e-44,0.145108157947541,0.063,0.038,1.70927152388176e-39,"Nxn"
"Rmst",5.48368450327004e-43,0.223473573237039,0.089,0.06,1.74326330358955e-38,"Rmst"
"Ninj2",1.69511578159687e-42,-0.247533562142867,0.072,0.104,5.38877306969644e-38,"Ninj2"
"Cdh4",1.92028693910953e-42,0.100802522811747,0.106,0.074,6.10459217942919e-38,"Cdh4"
"Adipor2",2.20352773370319e-41,-0.275982312180299,0.217,0.259,7.00501466544245e-37,"Adipor2"
"Mog",2.33489040093036e-41,-0.199148529917379,0.131,0.172,7.42261658455762e-37,"Mog"
"Nrg1",2.38254026687041e-41,0.23349766971192,0.434,0.388,7.57409550838102e-37,"Nrg1"
"Plpp3",3.74594966788436e-41,0.19053524642905,0.111,0.078,1.19083739942044e-36,"Plpp3"
"Mast3",9.48102715618014e-41,-0.177445365125535,0.389,0.432,3.01401853294966e-36,"Mast3"
"Lsamp",1.13759028402497e-39,0.122789721604089,0.781,0.746,3.61639951291539e-35,"Lsamp"
"Prex2",2.39572668646362e-39,0.234387424889806,0.177,0.138,7.61601513626784e-35,"Prex2"
"Rgs20",4.0456211623716e-39,0.15411573464324,0.125,0.091,1.28610296751793e-34,"Rgs20"
"Sulf1",4.41863654804846e-39,0.148089971981808,0.052,0.03,1.4046845586246e-34,"Sulf1"
"Pde4b",6.27432212707202e-39,-0.300436814884916,0.471,0.509,1.99460700419619e-34,"Pde4b"
"Gja1",1.36278570185784e-38,0.113013121263721,0.044,0.024,4.33229574620607e-34,"Gja1"
"Ntm",1.96939742848892e-37,0.143572128801059,0.455,0.4,6.26071442516627e-33,"Ntm"
"Qk",5.76562769688986e-37,-0.16472187062939,0.621,0.655,1.83289304484129e-32,"Qk"
"Agbl4",6.28058932305371e-37,0.150045459109616,0.448,0.402,1.99659934579878e-32,"Agbl4"
"Pde1a",7.11902628449813e-37,0.157010882348351,0.381,0.334,2.26313845584195e-32,"Pde1a"
"Slc39a12",8.33230413862081e-37,0.127114702740214,0.051,0.03,2.64883948566756e-32,"Slc39a12"
"Farp1",1.06957281985154e-36,0.153196329441272,0.264,0.219,3.40017199430803e-32,"Farp1"
"Rgs6",1.17354412484249e-36,0.167833773312194,0.157,0.121,3.73069677287428e-32,"Rgs6"
"Ptprg",2.01110315316018e-35,0.115427954008981,0.465,0.416,6.39329692389621e-31,"Ptprg"
"Csmd1",2.26840789874374e-35,0.100453166126106,0.687,0.652,7.21126871010636e-31,"Csmd1"
"Arhgap26.1",7.13575657354999e-35,0.12120594652523,0.277,0.235,2.26845701473154e-30,"Arhgap26.1"
"Sorcs2",1.15026280425472e-34,0.102173796261557,0.209,0.169,3.65668545472575e-30,"Sorcs2"
"Arhgap23",1.7302524520897e-34,-0.237423973786056,0.253,0.292,5.50047254519316e-30,"Arhgap23"
"Gpc6",2.03235969305125e-34,0.162325976898921,0.198,0.159,6.46087146420993e-30,"Gpc6"
"Gm37679",2.17742627819285e-34,0.100066035945677,0.21,0.171,6.92203813837508e-30,"Gm37679"
"Rorb",2.92085859103497e-34,0.191391656222937,0.082,0.056,9.28540946090018e-30,"Rorb"
"Grid1",4.8061818156293e-34,0.112817951904933,0.521,0.481,1.52788519918855e-29,"Grid1"
"4930545L23Rik",5.72501734167773e-34,0.105724195298169,0.159,0.124,1.81998301291935e-29,"4930545L23Rik"
"Plekhh1",7.8339096908151e-34,-0.207008890482395,0.08,0.11,2.49039989071012e-29,"Plekhh1"
"Aspa",1.2680919078443e-33,-0.183026228804288,0.13,0.166,4.03126417503704e-29,"Aspa"
"Cacna1c",4.03156073441096e-33,0.135096499973283,0.562,0.528,1.28163315746924e-28,"Cacna1c"
"Sec14l5",1.39500668099201e-32,-0.194692035440095,0.084,0.113,4.43472623887361e-28,"Sec14l5"
"Edil3",1.46106237388271e-32,-0.177108821436884,0.52,0.554,4.64471728657313e-28,"Edil3"
"Bcas1",6.32925928616502e-32,-0.192667276242134,0.109,0.141,2.01207152707186e-27,"Bcas1"
