"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"Rassf3",5.52091158952493e-22,0.180569639831897,0.046,0.03,1.75509779430997e-17,"Rassf3"
"Rtn4",5.95303114532864e-22,-0.126320193919293,0.554,0.582,1.89246860109998e-17,"Rtn4"
"Vwc2l",6.03546373377178e-22,-0.136676060820863,0.072,0.095,1.91867392096605e-17,"Vwc2l"
"Ermn",6.44192875929999e-22,-0.122951221739356,0.06,0.081,2.04788915258147e-17,"Ermn"
"Entpd1",1.16623284413469e-21,0.141865364377187,0.058,0.04,3.70745421150418e-17,"Entpd1"
"Gm26740",1.45351848173741e-21,0.102788424854748,0.024,0.013,4.62073525344323e-17,"Gm26740"
"Tns3",1.52240395991626e-21,0.146543581622184,0.143,0.115,4.83972218857378e-17,"Tns3"
"9330117O12Rik",1.93589609497485e-21,-0.123201049248892,0.032,0.048,6.15421368592504e-17,"9330117O12Rik"
"Kndc1",2.3810776085933e-21,-0.11938161021984,0.112,0.138,7.56944571771809e-17,"Kndc1"
"Gm15155",3.88816619256648e-21,0.170012729980263,0.087,0.066,1.23604803261689e-16,"Gm15155"
"Camk1d",4.37825473116756e-21,0.107503189035955,0.585,0.556,1.39184717903817e-16,"Camk1d"
"Plcg2",5.58637420609395e-21,0.125702786781316,0.057,0.04,1.77590836011727e-16,"Plcg2"
"Ccdc85a",8.50453634418234e-21,0.110974086144513,0.428,0.394,2.70359210381556e-16,"Ccdc85a"
"Aatk",9.03939323838771e-21,-0.155444351759885,0.183,0.212,2.87362311048345e-16,"Aatk"
"Lmo2",9.17828187146227e-21,0.112391922383755,0.033,0.02,2.91777580693786e-16,"Lmo2"
"Neat1",1.17877803418208e-20,-0.116148591173427,0.183,0.215,3.74733537066482e-16,"Neat1"
"Bin2",1.23423910624547e-20,0.116338736822426,0.027,0.015,3.92364611875435e-16,"Bin2"
"Pstpip2",1.30551364359349e-20,-0.147641857551822,0.135,0.162,4.15022787298371e-16,"Pstpip2"
"Hpgds",1.36752286895505e-20,0.18582040159515,0.146,0.119,4.34735520040812e-16,"Hpgds"
"Plgrkt",2.04135782400434e-20,0.141156694918794,0.114,0.09,6.4894765225098e-16,"Plgrkt"
"9530026P05Rik",2.17143432697719e-20,0.11099960222663,0.133,0.107,6.90298972546049e-16,"9530026P05Rik"
"March3",2.22441660323315e-20,0.113985646925622,0.115,0.091,7.07142038167819e-16,"March3"
"Qdpr",2.34386289136297e-20,-0.127246263413389,0.071,0.092,7.45114013164287e-16,"Qdpr"
"Cyp2j12",2.53784294527598e-20,-0.107000263721217,0.029,0.044,8.06780272303235e-16,"Cyp2j12"
