"","gene","-log10(p-value)","logFC_DAM","logFC_DroNc","FDR_DroNc"
"406","Atp6v1c1","7.9290289999999999",0.907373693715861,0.535758413725172,1.23969794029868e-25
"407","Gm11518","7.9249210000000003",0.833414280638368,NA,NA
"408","AW112010","7.9199289999999998",1.70811889106772,NA,NA
"409","Npm1","7.8936640000000002",0.586626233931729,NA,NA
"410","Cd84","7.8319650000000003",0.706097002086572,0.664781906269773,5.38538781446339e-55
"411","Gm9097","7.8265120000000001",5.96216751082885,NA,NA
"412","Fabp3-ps1","7.8239489999999998",5.75626398832923,NA,NA
"413","Ghr","7.8239489999999998",7.94664314498352,0.264255588504247,1.94026801434083e-15
"414","Gm7860","7.8239489999999998",5.54801298791693,NA,NA
"415","Pdgfrl","7.8239489999999998",6.47439589925313,NA,NA
"416","Samd4","7.8239489999999998",5.6232253102099,NA,NA
"417","Sorbs3","7.8239489999999998",5.00690232758345,NA,NA
"418","Ankrd55","7.8213860000000004",4.66537273988687,NA,NA
