"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Camk4.4",0,-0.640230089525067,0.011,0.268,0,"Microglia","Camk4"
"Scn2a.3",0,-0.641927104052927,0.067,0.478,0,"Microglia","Scn2a"
"Cdkl5.2",0,-0.643886667401777,0.018,0.304,0,"Microglia","Cdkl5"
"Trpc6.4",0,-0.644640265581083,0.009,0.204,0,"Microglia","Trpc6"
"Spon1.4",0,-0.646009100033618,0.014,0.26,0,"Microglia","Spon1"
"Adam23.3",0,-0.646617300185447,0.017,0.322,0,"Microglia","Adam23"
"Tcf4.3",0,-0.647613283012087,0.447,0.83,0,"Microglia","Tcf4"
"Pcdh17.3",0,-0.647944106059127,0.026,0.294,0,"Microglia","Pcdh17"
"Klhl32.4",0,-0.648801353717059,0.012,0.289,0,"Microglia","Klhl32"
"Cacnb4.5",0,-0.64965204794103,0.095,0.503,0,"Microglia","Cacnb4"
"Fermt2.2",0,-0.65050490787735,0.018,0.281,0,"Microglia","Fermt2"
"Gm44560.5",0,-0.651072140400862,0.006,0.307,0,"Microglia","Gm44560"
"Map7d2.1",0,-0.651154710192758,0.026,0.335,0,"Microglia","Map7d2"
"Plekhg5.5",0,-0.651404489914506,0.024,0.327,0,"Microglia","Plekhg5"
"Mllt3.2",0,-0.654815981777564,0.077,0.486,0,"Microglia","Mllt3"
"Gm1992.4",0,-0.656862023856447,0.002,0.261,0,"Microglia","Gm1992"
"Cacna1b.4",0,-0.657107349689347,0.014,0.334,0,"Microglia","Cacna1b"
"Wnk2.2",0,-0.666028669560294,0.008,0.306,0,"Microglia","Wnk2"
"Prkag2.5",0,-0.668238932637546,0.078,0.452,0,"Microglia","Prkag2"
"Alcam.5",0,-0.668898425230187,0.068,0.371,0,"Microglia","Alcam"
"Wasf3.1",0,-0.671556089196529,0.007,0.27,0,"Microglia","Wasf3"
"Pitpnm2.2",0,-0.674032558608025,0.011,0.282,0,"Microglia","Pitpnm2"
"Fndc9.4",0,-0.675504869755297,0.004,0.291,0,"Microglia","Fndc9"
"Soga3.2",0,-0.675655429628588,0.032,0.389,0,"Microglia","Soga3"
"C530008M17Rik.4",0,-0.679351061965847,0.012,0.288,0,"Microglia","C530008M17Rik"
"Erc1.2",0,-0.679792947467125,0.026,0.372,0,"Microglia","Erc1"
"Ttll11.4",0,-0.679991303209734,0.012,0.335,0,"Microglia","Ttll11"
"Srrm3.5",0,-0.684264975699553,0.01,0.334,0,"Microglia","Srrm3"
"Myo6.5",0,-0.684680625589984,0.049,0.288,0,"Microglia","Myo6"
"Snap25.3",0,-0.685088540878488,0.251,0.702,0,"Microglia","Snap25"
"Farp1.4",0,-0.685341443322637,0.034,0.267,0,"Microglia","Farp1"
"Scn1a.5",0,-0.689200158277322,0.026,0.372,0,"Microglia","Scn1a"
"Elmod1.3",0,-0.68973190307623,0.05,0.435,0,"Microglia","Elmod1"
"Glrb.1",0,-0.691082787208421,0.025,0.335,0,"Microglia","Glrb"
"Epha4.4",0,-0.69128034118849,0.063,0.433,0,"Microglia","Epha4"
"Gm49678.5",0,-0.692763989842016,0.006,0.204,0,"Microglia","Gm49678"
"Acyp2.2",0,-0.693292271906441,0.03,0.32,0,"Microglia","Acyp2"
"Cyp7b1.4",0,-0.693736117519096,0.014,0.269,0,"Microglia","Cyp7b1"
"Eml1.4",0,-0.694357670691908,0.006,0.214,0,"Microglia","Eml1"
"Sik3.4",0,-0.697346605116069,0.175,0.613,0,"Microglia","Sik3"
"Pkp4.4",0,-0.698534997434599,0.087,0.484,0,"Microglia","Pkp4"
"Nr3c2.4",0,-0.702696323100782,0.171,0.577,0,"Microglia","Nr3c2"
"Shisa4.4",0,-0.702823613089668,0.031,0.286,0,"Microglia","Shisa4"
"Gm43376.3",0,-0.70433449233605,0.019,0.339,0,"Microglia","Gm43376"
"Itga8.4",0,-0.705353157526683,0.006,0.277,0,"Microglia","Itga8"
"4430402I18Rik.4",0,-0.705510416391576,0.016,0.345,0,"Microglia","4430402I18Rik"
"Chl1.4",0,-0.710386762296974,0.028,0.369,0,"Microglia","Chl1"
"Clvs1.4",0,-0.7106461636017,0.014,0.347,0,"Microglia","Clvs1"
"Mapk4.4",0,-0.712610213163425,0.006,0.231,0,"Microglia","Mapk4"
"Trhde.5",0,-0.714758954531898,0.013,0.229,0,"Microglia","Trhde"
"Dock9.3",0,-0.715494364044682,0.08,0.477,0,"Microglia","Dock9"
"Chn1.5",0,-0.715686488531033,0.106,0.553,0,"Microglia","Chn1"
"Htr4.5",0,-0.715965197820139,0.006,0.263,0,"Microglia","Htr4"
"Dixdc1.4",0,-0.716386194986955,0.013,0.237,0,"Microglia","Dixdc1"
"Cald1.2",0,-0.717222488840705,0.008,0.197,0,"Microglia","Cald1"
"Mboat2",0,-0.718157814145041,0.011,0.311,0,"Microglia","Mboat2"
"Sidt1.4",0,-0.718243081030084,0.011,0.328,0,"Microglia","Sidt1"
"Pbx1.4",0,-0.718892049241631,0.162,0.607,0,"Microglia","Pbx1"
"Ank2.2",0,-0.719188525618545,0.437,0.899,0,"Microglia","Ank2"
"Pdzrn4.4",0,-0.720784875522633,0.008,0.219,0,"Microglia","Pdzrn4"
"Cpeb3.1",0,-0.724012226450298,0.071,0.499,0,"Microglia","Cpeb3"
"Rabgap1l.4",0,-0.724695555889738,0.117,0.607,0,"Microglia","Rabgap1l"
"Gm48742.4",0,-0.724854164858319,0.002,0.186,0,"Microglia","Gm48742"
"Mtus2.4",0,-0.72918914963926,0.013,0.343,0,"Microglia","Mtus2"
"Srcin1.2",0,-0.731578128525575,0.025,0.34,0,"Microglia","Srcin1"
"Usp29.4",0,-0.733011790338394,0.006,0.261,0,"Microglia","Usp29"
"Slco3a1.3",0,-0.733183153847609,0.015,0.308,0,"Microglia","Slco3a1"
"Jakmip3.2",0,-0.734170185620566,0.005,0.282,0,"Microglia","Jakmip3"
"Ahcyl2.5",0,-0.734257031756926,0.157,0.548,0,"Microglia","Ahcyl2"
"Tmem117.3",0,-0.735012179157708,0.004,0.261,0,"Microglia","Tmem117"
"Meis2.5",0,-0.738302476067234,0.011,0.204,0,"Microglia","Meis2"
"Gm48091.4",0,-0.73864612166918,0.029,0.383,0,"Microglia","Gm48091"
"Miat.5",0,-0.739227637193191,0.018,0.373,0,"Microglia","Miat"
"Dgkh.5",0,-0.740134234958718,0.069,0.404,0,"Microglia","Dgkh"
"Pde4dip.3",0,-0.740281988924139,0.091,0.554,0,"Microglia","Pde4dip"
"Epn2.5",0,-0.74117329765743,0.061,0.4,0,"Microglia","Epn2"
"Slc22a23.4",0,-0.743000687555473,0.008,0.251,0,"Microglia","Slc22a23"
"Gfod1.4",0,-0.744385741503152,0.011,0.336,0,"Microglia","Gfod1"
"Gm12394.3",0,-0.744401689051507,0.002,0.285,0,"Microglia","Gm12394"
"Rbfox2.2",0,-0.745948470835421,0.066,0.51,0,"Microglia","Rbfox2"
"2010300C02Rik.5",0,-0.747632575468993,0.028,0.353,0,"Microglia","2010300C02Rik"
"Atp5o.3",0,-0.753512569592303,0.034,0.409,0,"Microglia","Atp5o"
"Psd3.3",0,-0.755143467855783,0.06,0.451,0,"Microglia","Psd3"
"Zfp462.2",0,-0.755174694156405,0.009,0.255,0,"Microglia","Zfp462"
"Fam13c.2",0,-0.755503909375854,0.014,0.323,0,"Microglia","Fam13c"
"Slc7a14.4",0,-0.755686890728769,0.023,0.357,0,"Microglia","Slc7a14"
"Trim2.3",0,-0.755966996629087,0.16,0.638,0,"Microglia","Trim2"
"Dtnb.2",0,-0.75720241980802,0.054,0.469,0,"Microglia","Dtnb"
"A330076H08Rik.3",0,-0.758400689041978,0.007,0.308,0,"Microglia","A330076H08Rik"
"Slain1.4",0,-0.763105131704863,0.009,0.209,0,"Microglia","Slain1"
"Gm2164.5",0,-0.763965649313717,0.004,0.187,0,"Microglia","Gm2164"
"Bcl11a.4",0,-0.764750739453819,0.033,0.398,0,"Microglia","Bcl11a"
"Slc44a1.5",0,-0.764924558301963,0.074,0.467,0,"Microglia","Slc44a1"
"Wipf3.5",0,-0.768748714331957,0.029,0.369,0,"Microglia","Wipf3"
"Sez6l.5",0,-0.769109675357767,0.025,0.397,0,"Microglia","Sez6l"
"9330162G02Rik.5",0,-0.769429333647214,0.146,0.592,0,"Microglia","9330162G02Rik"
"1700111E14Rik.3",0,-0.76966812111764,0.003,0.285,0,"Microglia","1700111E14Rik"
"Tead1.5",0,-0.77198108480874,0.006,0.275,0,"Microglia","Tead1"
"Eml5.3",0,-0.772091254486331,0.046,0.465,0,"Microglia","Eml5"
"Map1b.3",0,-0.77328522779676,0.132,0.602,0,"Microglia","Map1b"
"Snap91.4",0,-0.773298172164711,0.023,0.404,0,"Microglia","Snap91"
"Rit2.4",0,-0.775163088270269,0.022,0.372,0,"Microglia","Rit2"
"Nell1.5",0,-0.775492689098286,0.013,0.222,0,"Microglia","Nell1"
"Runx1t1.5",0,-0.776461942819054,0.018,0.313,0,"Microglia","Runx1t1"
"Sptbn4.3",0,-0.776497747538319,0.005,0.35,0,"Microglia","Sptbn4"
"Srrm4.4",0,-0.781646543147748,0.013,0.343,0,"Microglia","Srrm4"
"Rfx3.4",0,-0.783591577895164,0.148,0.502,0,"Microglia","Rfx3"
"Epha3.5",0,-0.785557569850461,0.013,0.284,0,"Microglia","Epha3"
"Tafa5.2",0,-0.787420502352209,0.024,0.373,0,"Microglia","Tafa5"
"Lrfn2.4",0,-0.79106227071772,0.008,0.346,0,"Microglia","Lrfn2"
"Osbp2.5",0,-0.791916137819722,0.008,0.338,0,"Microglia","Osbp2"
"Pde7b.5",0,-0.793361051395898,0.01,0.235,0,"Microglia","Pde7b"
